ProjectUUID,PersonUUID,Role
33b3fc7e-5aad-48c0-877c-ada1be556f22,7e6e312c-7d1b-4d6a-ac22-385bab06ee41,Co-Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,a0e31b8c-3d9c-4b68-834d-d4c06914b69f,Co-Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,53c45a58-4c3c-424c-80a2-c39e733fd7c3,Co-Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,3f05e4ce-6433-4c5a-b72c-aa89422cf431,Co-Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,5f52759c-418a-41b7-bbdb-050492677284,Co-Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,ef9b447a-d6c4-4250-a506-093730db84d6,Co-Investigator
17e1e227-7f62-424a-abd5-4d6b119572fc,a420ffb3-2ca6-4925-a25f-baaa5228fc15,Co-Investigator
4693ba77-d11e-4f95-9493-84f516080715,4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7,Principal Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,d55dab65-fffe-4da4-a383-cfcf5ee3a8cd,Principal Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,e9d14210-bc71-4824-b7cf-fd1448d022ab,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,10e4fc8e-556f-4104-b744-409caedc2276,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,f11b0cc1-ad9f-4b12-b805-65b70e5bcd65,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,5041f387-908f-4845-9f79-3a6dbd527f4b,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,2efbc294-1ce4-4148-a403-93fe6450d879,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,6ec63914-1f4e-4708-8830-1b054c2ee03a,Co-Investigator
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2,6c543b1d-8137-489d-b444-d17921fc9de9,Co-Investigator
de42ab38-51c3-4753-b13a-098710026e30,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
516eb84c-8047-484a-8d11-dcb7976fc2bf,f2136570-f73c-446f-9fb0-6d9e461e2124,Principal Investigator
f38668d7-1ed2-4dbf-b41a-0583a99f52a5,54728da8-274d-40e6-b119-23318d995721,Co-Investigator
f38668d7-1ed2-4dbf-b41a-0583a99f52a5,1052b289-f510-4c5a-9662-2db48c12ebc2,Co-Investigator
46950efa-4ab3-4646-9458-a5a6c128d967,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
46950efa-4ab3-4646-9458-a5a6c128d967,0ee7ba1e-3108-4db3-a908-97977980d032,Co-Investigator
46950efa-4ab3-4646-9458-a5a6c128d967,f2136570-f73c-446f-9fb0-6d9e461e2124,Co-Investigator
46950efa-4ab3-4646-9458-a5a6c128d967,d3b41838-e2bf-4735-b1cd-03f60b49c7e5,Co-Investigator
4dfe41c8-311e-4715-b629-c0a0edbb46de,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
5dfefa18-89b7-41ca-b016-05f24da59579,54728da8-274d-40e6-b119-23318d995721,Principal Investigator
5dfefa18-89b7-41ca-b016-05f24da59579,92f6c3f3-0ad2-40fc-b278-69170f87567d,Co-Investigator
5dfefa18-89b7-41ca-b016-05f24da59579,70f3c85a-9cd2-40b4-bed9-5e2a75609421,Co-Investigator
249c41f8-3d16-4033-bfc1-695487446106,0ee7ba1e-3108-4db3-a908-97977980d032,Principal Investigator
249c41f8-3d16-4033-bfc1-695487446106,f2136570-f73c-446f-9fb0-6d9e461e2124,Co-Investigator
249c41f8-3d16-4033-bfc1-695487446106,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Co-Investigator
25d54da9-ee43-47f4-8224-7a06547a3ee6,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
16e7a68a-1a39-4e97-82bd-cdad60df959b,c27ebbb6-7aae-41d4-b6fe-eb4a09024eca,Co-Investigator
16e7a68a-1a39-4e97-82bd-cdad60df959b,42147e05-f94c-471d-a889-c57a01e4bdd0,Co-Investigator
16e7a68a-1a39-4e97-82bd-cdad60df959b,80784458-06f6-4eff-b0c8-df982ffa9835,Co-Investigator
16e7a68a-1a39-4e97-82bd-cdad60df959b,42147e05-f94c-471d-a889-c57a01e4bdd0,Co-Investigator
16e7a68a-1a39-4e97-82bd-cdad60df959b,c27ebbb6-7aae-41d4-b6fe-eb4a09024eca,Co-Investigator
44d7b341-2fb8-462f-aeea-8dc7f9b1cb93,22ec9269-2fff-4dbf-a9c7-5037559a15ee,Principal Investigator
44d7b341-2fb8-462f-aeea-8dc7f9b1cb93,689427b5-8d2a-44f3-b291-6db6ba598305,Co-Investigator
44d7b341-2fb8-462f-aeea-8dc7f9b1cb93,ddcdfda8-c5ea-4e67-b0ea-21ba86966197,Co-Investigator
97a65822-fad8-4fac-8d3d-ac14aad42b2c,0ee7ba1e-3108-4db3-a908-97977980d032,Principal Investigator
a34eefb4-dc7c-45b0-a60a-369c9f8c4fbc,0ee7ba1e-3108-4db3-a908-97977980d032,Principal Investigator
4aee6ebc-1ae0-48c0-a84f-1580e8d7760b,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Co-Investigator
44cc67b4-adc8-483b-b3f4-8ddf906d78c4,2fa5dc89-7d78-45d0-96c7-e8f39b78dd3e,Principal Investigator
