paperUUID,expertUUID,role,name,lastname
60620109-5d9c-42c8-8597-3bd4b4cd13d5,,Author,Roman,Beck
7f61df01-187e-4792-af88-d8b73c1afe7a,,Author,Roman,Beck
48c4936d-194e-491c-b624-7c44fc4e86e4,,Author,Roman,Beck
480f5b1f-cb43-4a8d-94ed-b67ad293d39f,,Author,Roman,Beck
eafca0de-ac2e-4ae4-a367-5bd916febf7e,5f3b7745-99be-4d1b-8ce1-a413325c2008,Author,Carsten Lund,Pedersen
8e3ed1f9-2521-4a26-8558-c156469db048,5f3b7745-99be-4d1b-8ce1-a413325c2008,Author,Carsten Lund,Pedersen
1f2e4b4d-12df-421a-9463-1ca3b64937e4,5f3b7745-99be-4d1b-8ce1-a413325c2008,Author,Carsten Lund,Pedersen
07dbe349-6a57-4981-b8c4-17839a27ed69,5f3b7745-99be-4d1b-8ce1-a413325c2008,Author,Carsten Lund,Pedersen
9a48a109-c174-4337-b6bb-b649b443d19d,,Author,Iago Abal,Rivas
005e3f5f-7bef-4955-97a4-ce900a8b1bd5,c596539b-3ceb-497c-9a43-e71d6b0f65a6,Author,Djordje,Grbic
d59c6245-3c6c-4b68-956b-99162fcf13d3,,Author,Daniel,Cermak-Sassenrath
37526f71-153d-47d7-9c5b-81d3c770d929,02960d47-7677-4b2c-99d4-490a31fd6885,Author,Mircea,Lungu
4878cf8f-5241-4c8b-a50d-07b061998a34,2575c800-642d-4984-9c56-41601cf07a26,Author,Søren,Knudsen
8cbb36c9-52bf-4247-b237-85b5a0e31aa9,cb1b6c5f-6206-4a35-b8aa-6a750f9c89a1,Author,Raquel,Robinson
8cbb36c9-52bf-4247-b237-85b5a0e31aa9,cf6cfa0b-e3ac-4164-8de2-b956d8e23825,Author,Elisa,Mekler
1bdc44ec-a22a-42bd-ab9a-5d6eedf3b783,cb1b6c5f-6206-4a35-b8aa-6a750f9c89a1,Author,Raquel,Robinson
1bdc44ec-a22a-42bd-ab9a-5d6eedf3b783,cf6cfa0b-e3ac-4164-8de2-b956d8e23825,Author,Elisa,Mekler
78b10433-258f-4351-9f8d-e01b38150151,ce1a5350-f645-4a53-a745-fca8d4f1f030,Author,Elda,Paja
3fbda3d5-4249-4029-aea6-c6f68e5aa1c5,ce1a5350-f645-4a53-a745-fca8d4f1f030,Author,Elda,Paja
b59cb1ae-b83b-4fde-b9dc-6ef7eaccc9bb,42c316a3-1a31-469b-b436-635edc389e02,Author,Titus Theodorus (Ties),Robroek
b59cb1ae-b83b-4fde-b9dc-6ef7eaccc9bb,,Author,Aaron,Duane
b59cb1ae-b83b-4fde-b9dc-6ef7eaccc9bb,ac400e55-5188-4efd-872a-12df089e7068,Author,Ehsan,Yousefzadeh-Asl-Miandoab
b59cb1ae-b83b-4fde-b9dc-6ef7eaccc9bb,63342b24-28ec-40c5-a7d9-ec49867dc75d,Author,Pinar,Tözün
8b5e5d8e-ab9e-4d7b-90f5-806f4ae31520,42c316a3-1a31-469b-b436-635edc389e02,Author,Titus Theodorus (Ties),Robroek
8b5e5d8e-ab9e-4d7b-90f5-806f4ae31520,ac400e55-5188-4efd-872a-12df089e7068,Author,Ehsan,Yousefzadeh-Asl-Miandoab
8b5e5d8e-ab9e-4d7b-90f5-806f4ae31520,63342b24-28ec-40c5-a7d9-ec49867dc75d,Author,Pinar,Tözün
47229b31-3a7c-4916-90ed-79bc6dd5638a,42c316a3-1a31-469b-b436-635edc389e02,Author,Titus Theodorus (Ties),Robroek
180ebd22-1e79-4424-acf3-328061ef9116,42c316a3-1a31-469b-b436-635edc389e02,Author,Ties,Robroek
180ebd22-1e79-4424-acf3-328061ef9116,63342b24-28ec-40c5-a7d9-ec49867dc75d,Author,Pınar,Tözün
74db00d8-6ca7-4613-8601-127890f413ae,831421c0-027f-4a25-b795-ee2fce0c8d2a,Author,Louise,Barkhuus
663e67b2-4ac5-41f4-b969-439ccdfeb60d,0bdda5a8-b38a-4532-b9a2-e5d9a98c05a7,Author,Hasib,Ahsan
663e67b2-4ac5-41f4-b969-439ccdfeb60d,92f6c3f3-0ad2-40fc-b278-69170f87567d,Author,Lars Rune,Christensen
6decf5c1-8b2c-45a1-9422-3530fcc9929d,d55dab65-fffe-4da4-a383-cfcf5ee3a8cd,Author,Christopher,Gad
7407b137-1770-4be4-bb04-0878dfd6fba0,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
e5e9fd1f-8c6f-448e-8a80-e137fd88ea20,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Editor,Anna,Rogers
be2dff3a-1d36-4ec7-aae6-f5af4e7195c5,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Editor,Anna,Rogers
b05dd9c2-a831-4d48-a0ea-fbb649ec806e,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Editor,Anna,Rogers
8bc195f5-c725-4365-9498-d50648f98bd4,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
5d04b14a-acd0-4e10-b149-09f37d76458b,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
2f4140c6-d835-42eb-a514-9ebf05d0552d,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
8ada8962-3c4b-44b0-ac36-251c9b353707,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
95478152-5beb-4961-938e-49a394b5f564,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
5b74302a-8842-4418-99d8-f67b7cf0edb3,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
63b606de-d812-4416-8f38-b448e04880eb,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
937a9c98-041c-4106-b22f-3a1c62abd91a,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
e07045cf-809c-4170-a907-3e38180de663,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
9ccafb8e-c7d3-430c-b54c-74ebc40e0826,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
