Course Name,Course Summary,Abstract,Description,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
"Advanced Programming, MSc CS (Autumn 2024)",,,,0,Autumn 2024,,,,K-CS:MSc in Computer Science,No,No
"Advanced Programming, MSc CS (Autumn 2025)",,,,0,Autumn 2025,,,,K-CS:MSc in Computer Science,No,No
"Advanced Programming, Master (Professional education)","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Finger trees Lenses and data synchronization",7.5,Autumn 2019,English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,Master in Software Engineering,Yes,No
"Advanced Programming, Master (Professional education) (Autumn 2018) - MERGED with KSADPRO2KU",,,,0,Autumn 2018,,,,"MSEN:Master in IT, Software Engineeringt",No,No
"Advanced Programming, Master (Professional education) (Autumn 2019)",,,,0,Autumn 2019,,,,M-SE:Master of IT (Software Engineering),No,No
"Advanced Programming, Master (Professional education) (Spring 2017)",,,,0,Spring 2017,,,,"MSEN:Master in IT, Software Engineering",No,No
Advanced Robotics,This course introduces students to the broad field of robotics predominately from a software perspective.,This course introduces students to the broad field of robotics predominately from a software perspective.,"This course is the last course in the robot specialization. The course provides an introduction to robotics and starts by answering general questions such as what a robot is, their origins, types, and applications. It then introduces the key approaches to robot control and explores the pros and cons of each. The course finally covers the advanced topics of robot learning and bio-inspired robots in addition to current robot research topics at ITU. In addition to the theory, the course also has a significant practical, hands-on dimension that comprises introduction to relevant software tools (simulators and operating systems) and hands-on experiments with simulated and physical robots.",15,Autumn 2019,English,"C: Submission of written work, External (7-point scale)",Kasper Støy,MSc in Computer Science,Yes,Yes
Advanced Robotics,This course introduces students to the broad field of robotics predominately from a software perspective.,This course introduces students to the broad field of robotics predominately from a software perspective.,"This course is the last course in the robot specialization. The course provides an introduction to robotics and starts by answering general questions such as what a robot is, their origins, types, and applications. It then introduces the key approaches to robot control and explores the pros and cons of each. The course finally covers the advanced topics of robot learning and bio-inspired robots in addition to current robot research topics at ITU. In addition to the theory, the course also has a significant practical, hands-on dimension that comprises introduction to relevant software tools (simulators and operating systems) and hands-on experiments with simulated and physical robots.",15,Autumn 2020,English,"D: Submission of written work with following oral, External (7-point scale)",Kasper Støy,MSc in Computer Science,Yes,Yes
Advanced Robotics,This course introduces students to the broad field of robotics predominately from an artificial intelligence perspective.,This course introduces students to the broad field of robotics predominately from an artificial intelligence perspective.,"This course is the last course in the robot specialization. The course provides an introduction to robotics and starts by answering general questions such as what a robot is, their origins, types, and applications. It then introduces the key approaches to robot control and explores the pros and cons of each. The course finally covers the advanced topics of robot learning and bio-inspired robots in addition to current robot research topics at ITU. In addition to the theory, the course also has a significant practical, hands-on dimension that comprises introduction to relevant software tools (simulators and operating systems) and hands-on experiments with simulated and physical robots.",15,Autumn 2021,English,"D: Submission of written work with following oral, External (7-point scale)",Kasper Støy,MSc in Computer Science,Yes,Yes
Advanced Robotics,This course introduces students to the broad field of robotics predominately from an artificial intelligence perspective.,This course introduces students to the broad field of robotics predominately from an artificial intelligence perspective.,"This course is the last course in the robot specialization. The course provides an introduction to robotics and starts by answering general questions such as what a robot is, their origins, types, and applications. It then introduces the key approaches to robot control and explores the pros and cons of each. The course finally covers the advanced topics of robot learning and bio-inspired robots in addition to current robot research topics at ITU. In addition to the theory, the course also has a significant practical, hands-on dimension that comprises introduction to relevant software tools (simulators and operating systems) and hands-on experiments with simulated and physical robots.",15,Autumn 2022,English,"D: Submission of written work with following oral, External (7-point scale)",Kasper Støy,MSc in Computer Science,Yes,Yes
